"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 01 21:14:43 UTC 2026","Tue Sep 01 21:14:44 UTC 2026","509","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CountApiTest","com.api.tests.CountApiTest","verifyCountApiResponseWithoutToken","Verify the create count api reponse is properly without token","Verify the count job api response without token"
"broken","Tue Sep 01 21:14:45 UTC 2026","Tue Sep 01 21:14:46 UTC 2026","617","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CreateJobApiWithDBValidationTest","com.api.tests.CreateJobApiWithDBValidationTest","createJobApiTest","Verify the create job api is creating job properly and perform DB validation","Verify the create job api response and also DB data"
"passed","Tue Sep 01 21:14:42 UTC 2026","Tue Sep 01 21:14:43 UTC 2026","932","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.UserDetailsApiTest","com.api.tests.UserDetailsApiTest","userDetailsApiTest","Verify the user details api response is completely valid as expectec","Verify the user details api response"
"passed","Tue Sep 01 21:14:40 UTC 2026","Tue Sep 01 21:14:42 UTC 2026","2262","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.LoginApiTest","com.api.tests.LoginApiTest","loginAPITest","Verify the login api response is completely valid","Execute loginAPITest with valid user credentials"
"passed","Tue Sep 01 21:14:43 UTC 2026","Tue Sep 01 21:14:43 UTC 2026","549","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CountApiTest","com.api.tests.CountApiTest","verifyCountApiResponse","Verify the create count api reponse is completely valid","Verify the count job api response"
"passed","Tue Sep 01 21:14:44 UTC 2026","Tue Sep 01 21:14:45 UTC 2026","610","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.MasterApiTest","com.api.tests.MasterApiTest","verifyMasterApiResponse","Verify the master api is properly generating response","Verify the master api response"
"passed","Tue Sep 01 21:14:45 UTC 2026","Tue Sep 01 21:14:45 UTC 2026","606","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CreateJobApiTest","com.api.tests.CreateJobApiTest","createJobApiTest","Verify the create job api is creating job properly","Verify the create job api response"
