"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 17 21:38:18 UTC 2026","Thu Sep 17 21:38:20 UTC 2026","2362","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.LoginApiTest","com.api.tests.LoginApiTest","loginAPITest","Verify the login api response is completely valid","Execute loginAPITest with valid user credentials"
"passed","Thu Sep 17 21:38:22 UTC 2026","Thu Sep 17 21:38:22 UTC 2026","553","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CountApiTest","com.api.tests.CountApiTest","verifyCountApiResponseWithoutToken","Verify the create count api reponse is properly without token","Verify the count job api response without token"
"passed","Thu Sep 17 21:38:23 UTC 2026","Thu Sep 17 21:38:24 UTC 2026","600","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CreateJobApiTest","com.api.tests.CreateJobApiTest","createJobApiTest","Verify the create job api is creating job properly","Verify the create job api response"
"broken","Thu Sep 17 21:38:24 UTC 2026","Thu Sep 17 21:38:24 UTC 2026","657","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CreateJobApiWithDBValidationTest","com.api.tests.CreateJobApiWithDBValidationTest","createJobApiTest","Verify the create job api is creating job properly and perform DB validation","Verify the create job api response and also DB data"
"passed","Thu Sep 17 21:38:22 UTC 2026","Thu Sep 17 21:38:23 UTC 2026","652","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.MasterApiTest","com.api.tests.MasterApiTest","verifyMasterApiResponse","Verify the master api is properly generating response","Verify the master api response"
"passed","Thu Sep 17 21:38:20 UTC 2026","Thu Sep 17 21:38:21 UTC 2026","991","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.UserDetailsApiTest","com.api.tests.UserDetailsApiTest","userDetailsApiTest","Verify the user details api response is completely valid as expectec","Verify the user details api response"
"passed","Thu Sep 17 21:38:21 UTC 2026","Thu Sep 17 21:38:22 UTC 2026","573","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CountApiTest","com.api.tests.CountApiTest","verifyCountApiResponse","Verify the create count api reponse is completely valid","Verify the count job api response"
