"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 19 20:55:51 UTC 2026","Sat Sep 19 20:55:52 UTC 2026","615","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.MasterApiTest","com.api.tests.MasterApiTest","verifyMasterApiResponse","Verify the master api is properly generating response","Verify the master api response"
"passed","Sat Sep 19 20:55:51 UTC 2026","Sat Sep 19 20:55:51 UTC 2026","531","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CountApiTest","com.api.tests.CountApiTest","verifyCountApiResponseWithoutToken","Verify the create count api reponse is properly without token","Verify the count job api response without token"
"broken","Sat Sep 19 20:55:53 UTC 2026","Sat Sep 19 20:55:53 UTC 2026","641","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CreateJobApiWithDBValidationTest","com.api.tests.CreateJobApiWithDBValidationTest","createJobApiTest","Verify the create job api is creating job properly and perform DB validation","Verify the create job api response and also DB data"
"passed","Sat Sep 19 20:55:47 UTC 2026","Sat Sep 19 20:55:49 UTC 2026","2366","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.LoginApiTest","com.api.tests.LoginApiTest","loginAPITest","Verify the login api response is completely valid","Execute loginAPITest with valid user credentials"
"passed","Sat Sep 19 20:55:50 UTC 2026","Sat Sep 19 20:55:51 UTC 2026","518","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CountApiTest","com.api.tests.CountApiTest","verifyCountApiResponse","Verify the create count api reponse is completely valid","Verify the count job api response"
"passed","Sat Sep 19 20:55:52 UTC 2026","Sat Sep 19 20:55:53 UTC 2026","555","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CreateJobApiTest","com.api.tests.CreateJobApiTest","createJobApiTest","Verify the create job api is creating job properly","Verify the create job api response"
"passed","Sat Sep 19 20:55:49 UTC 2026","Sat Sep 19 20:55:50 UTC 2026","911","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.UserDetailsApiTest","com.api.tests.UserDetailsApiTest","userDetailsApiTest","Verify the user details api response is completely valid as expectec","Verify the user details api response"
