"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 09 21:06:28 UTC 2026","Wed Sep 09 21:06:29 UTC 2026","1085","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.UserDetailsApiTest","com.api.tests.UserDetailsApiTest","userDetailsApiTest","Verify the user details api response is completely valid as expectec","Verify the user details api response"
"broken","Wed Sep 09 21:06:32 UTC 2026","Wed Sep 09 21:06:32 UTC 2026","699","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CreateJobApiWithDBValidationTest","com.api.tests.CreateJobApiWithDBValidationTest","createJobApiTest","Verify the create job api is creating job properly and perform DB validation","Verify the create job api response and also DB data"
"passed","Wed Sep 09 21:06:30 UTC 2026","Wed Sep 09 21:06:31 UTC 2026","666","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.MasterApiTest","com.api.tests.MasterApiTest","verifyMasterApiResponse","Verify the master api is properly generating response","Verify the master api response"
"passed","Wed Sep 09 21:06:26 UTC 2026","Wed Sep 09 21:06:28 UTC 2026","2037","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.LoginApiTest","com.api.tests.LoginApiTest","loginAPITest","Verify the login api response is completely valid","Execute loginAPITest with valid user credentials"
"passed","Wed Sep 09 21:06:31 UTC 2026","Wed Sep 09 21:06:32 UTC 2026","668","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CreateJobApiTest","com.api.tests.CreateJobApiTest","createJobApiTest","Verify the create job api is creating job properly","Verify the create job api response"
"passed","Wed Sep 09 21:06:29 UTC 2026","Wed Sep 09 21:06:30 UTC 2026","614","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CountApiTest","com.api.tests.CountApiTest","verifyCountApiResponse","Verify the create count api reponse is completely valid","Verify the count job api response"
"passed","Wed Sep 09 21:06:30 UTC 2026","Wed Sep 09 21:06:30 UTC 2026","586","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CountApiTest","com.api.tests.CountApiTest","verifyCountApiResponseWithoutToken","Verify the create count api reponse is properly without token","Verify the count job api response without token"
